Departements,Superficie_totale,AOC_blanc,AOC_rougerose,VDP_blanc,VDP_rougerose,Autres_blancs,Autres_rougerose,tot_blanc,tot_rougerose,total_prod
30 GARD,52804.046,61700.72,853631.8300000001,360718.34,1847642.09,35822.9,281681.5,458241.9600000001,2982955.42,3441197.38
31 GARONNE(HTE),1551.2659,0.0,42565.32,406.0,33379.899999999994,286.2,5215.76,692.2,81160.98,81853.18
32 GERS,18419.571,18936.07,67863.08,862794.25,168862.25,256848.17,34824.130000000005,1138578.49,271549.46,1538310.1099999999
33 GIRONDE,114724.169,547653.77,4747044.130000001,1748.1,8077.61,11818.19,133007.15,561220.0599999999,4888128.8900000015,5518480.34
34 HERAULT,81032.83,123541.92,468788.63,845346.42,2753148.38,67956.55,367227.10000000003,1036844.8900000001,3589164.11,4626009.0
36 INDRE,564.457,8254.62,6698.64,2976.37,2331.78,1641.22,4230.71,12872.210000000001,13261.130000000001,26280.350000000002
37 INDRE-ET-L,9861.582699999999,158869.78,261231.0,1196.78,3793.23,10363.57,18675.61,170430.13,283699.83999999997,454129.9700000001
38 ISERE,495.3526,7644.83,674.8700000000001,921.24,1474.5900000000001,2069.9,4763.39,10635.97,6912.85,17565.52
39 JURA,2209.6749,50536.71,19344.18,212.5,122.7,2421.22,1979.91,53170.43,21446.79,74617.21999999999
40 LANDES,1632.6099000000002,2935.25,13526.98,38227.28,12849.11,9142.68,1942.95,50305.21,28319.04,107046.61999999998
41 LOIR-ET-CHER,6489.0818,154450.71,95577.32,29150.18,18668.85,10355.13,19464.989999999998,193956.02,133711.16,327667.18000000005
42 LOIRE,1192.2515,5578.36,18183.81,2962.41,4762.36,1866.26,4723.3099999999995,10407.03,27669.480000000003,38076.51
43 LOIRE(HAUTE),35.4021,0.0,0.0,0.0,0.0,43.85,508.0,43.85,508.0,551.85
44 LOIRE ATLAN,11788.423,409846.1,3597.0699999999997,54627.84,50153.95,62590.74,47915.67,527064.6799999999,101666.69,628731.3700000001
45 LOIRET,187.22160000000002,2326.06,2911.93,98.0,397.61,95.56,471.21000000000004,2519.62,3780.75,6300.37
46 LOT,4993.312599999999,0.0,190840.0,3433.56,62039.350000000006,370.1,47656.700000000004,3803.66,300536.05,304339.71
47 LOT-ET-GAR,6040.0929,36835.14,197561.99000000002,45413.72,30915.370000000003,12097.98,23022.04,94346.84,251499.40000000002,349851.23999999993
48 LOZERE,12.9266,0.0,0.0,85.88,204.62,0.0,38.9,85.88,243.52,329.4
49 MAINE-ET-L,19378.0696,276510.16,637688.0,40120.54,21430.22,22658.33,30296.54,339289.02999999997,689414.76,1030840.4199999998
51 MARNE,23958.2396,1732265.67,0.0,0.0,0.0,74.71,53.39,1732340.38,53.39,1732393.7699999998
52 MARNE(HAUTE),107.90790000000001,3538.62,0.0,558.0,868.21,698.94,615.97,4795.5599999999995,1484.18,6279.740000000001
53 MAYENNE,1.6437,0.0,0.0,0.0,0.0,46.5,28.5,46.5,28.5,75.0
54 MEURTHE-&-M,196.3558,731.19,3244.14,0.0,0.0,514.15,867.9000000000001,1245.3400000000001,4112.04,5357.379999999999
55 MEUSE,41.565599999999996,0.0,0.0,838.98,1126.32,366.45,109.55000000000001,1205.43,1235.87,2441.2999999999997
57 MOSELLE,189.4663,1385.54,950.23,0.0,0.0,1410.1,591.02,2795.64,1541.25,4336.889999999999
58 NIEVRE,1542.5143,82338.93,3231.9300000000003,2272.66,1398.37,494.0,1063.78,85105.59,5694.08,90799.67
59 NORD,1.409,0.0,0.0,0.0,0.0,23.4,13.7,23.4,13.7,37.099999999999994
60 OISE,1.0,0.0,0.0,0.0,0.0,1.65,0.0,1.65,0.0,1.65
63 PUY-DE-DOME,796.8253,1247.13,9050.89,435.5,1958.44,330.57,4730.79,2013.2,15740.119999999999,17753.32
64 PYRENEES-AT,2587.5569,50269.33,35715.009999999995,186.36,2272.7200000000003,748.9,2476.9500000000003,51204.590000000004,40464.67999999999,91669.27
65 PYRENEES(HTE),306.346,949.16,6738.150000000001,147.5,439.47,172.15,1786.24,1268.81,8963.86,10232.67
66 PYRENEES-OR,23640.255,87265.33,348863.01,94864.32,227891.19999999998,24023.88,24310.239999999998,206153.53000000003,601064.45,807218.8600000001
67 RHIN(BAS),6661.6446,416511.87,25507.89,0.0,0.0,2227.13,129.1,418739.0,25636.989999999998,444375.99
68 RHIN (HAUT),8977.5633,532805.51,38060.86,0.0,0.0,1092.69,67.94999999999999,533898.2,38128.81,572027.01
69 RHONE,16828.904,74002.12,722976.28,1301.49,2150.1800000000003,2076.81,10915.689999999999,77380.42,736042.15,814282.66
70 SAONE(HAUTE),118.91320000000002,0.0,0.0,1131.5,1247.0,589.0,764.8799999999999,1720.5,2011.8799999999999,3732.3799999999997
71 SAONE-ET-L,12923.012999999999,518242.06,221093.59,298.31,284.5,2523.11,1710.8000000000002,521063.48,223088.88999999998,758351.7600000001
72 SARTHE,182.1751,2920.22,1272.29,19.6,163.25,519.85,825.72,3459.6699999999996,2261.26,5720.930000000001
73 SAVOIE,1897.5355,67947.26,27761.2,3509.08,876.77,2656.11,2649.59,74112.45,31287.56,105589.11000000002
74 SAVOIE(HTE),249.3173,5780.72,757.94,332.2,100.25,3606.44,2079.65,9719.36,2937.84,12657.2
77 SEINE ET MARNE,22.4323,1690.68,0.0,0.0,0.0,0.0,0.0,1690.68,0.0,1690.68
79 SEVRES(DEUX),917.8140000000001,12934.15,28414.870000000003,1788.86,290.03999999999996,720.23,6370.69,15443.24,35075.600000000006,50705.84000000001
81 TARN,6576.262,39594.6,100871.56,43562.67,140163.94,29501.97,36866.58,112659.23999999999,277902.08,390561.32
82 TARN-ET-G,1661.1699999999998,0.0,37490.68,1674.83,28462.879999999997,316.0,15593.36,1990.83,81546.92,83537.75
83 VAR,27827.583400000003,36622.1,1065438.37,23833.38,359249.0,2855.51,24360.18,63310.99,1449047.55,1514539.25
84 VAUCLUSE,46584.388999999996,97739.13,1470810.76,81556.14,558212.4099999999,21168.53,100206.23000000001,200463.80000000002,2129229.4,2329693.1999999997
85 VENDEE,1336.1725000000001,6884.63,16885.739999999998,3118.97,7045.0599999999995,3583.45,17941.16,13587.05,41871.95999999999,55459.009999999995
86 VIENNE,1438.3387,15459.89,14271.95,19018.91,5856.91,1846.1,11478.71,36324.9,31607.57,67932.47
87 VIENNE(HTE),7.2741,0.0,0.0,27.0,288.5,2.2,15.7,29.2,304.2,333.4
88 VOSGES,30.9105,0.0,0.0,0.0,0.0,12.11,426.91,12.11,426.91,439.02000000000004
89 YONNE,7429.6053999999995,387290.5,34471.65,303.02,146.0,575.54,1755.79,388169.06,36373.44,440894.79000000004
90 T. de BELFORT,1.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,8.0
